timestamp,tool_id,pad_hours,retaining_ring_hours,platen_motor_current,carrier_motor_current,slurry_flow_rate,downforce_pressure,vibration,temperature_c,alarm_count,wafer_removal_rate,process_drift_nm,maintenance_event,maintenance_state
2026-01-01 00:00:00,CMP-01,0.54,-0.32,17.79,11.89,216.66,4.05,0.389,20.84,0,106.85,1.85,0,normal
2026-01-01 01:00:00,CMP-01,0.51,0.38,17.78,10.94,215.76,4.259,0.437,22.28,0,105.67,0.67,0,normal
2026-01-01 02:00:00,CMP-01,0.4,1.5,17.22,12.07,212.33,4.211,0.296,21.63,0,105.7,0.7,0,normal
2026-01-01 03:00:00,CMP-01,2.18,2.28,16.51,12.39,210.88,4.169,0.378,22.75,0,104.81,0.19,0,normal
2026-01-01 04:00:00,CMP-01,2.22,2.34,17.69,11.91,205.94,4.167,0.341,22.05,0,104.73,0.27,0,normal
2026-01-01 05:00:00,CMP-01,5.11,4.61,17.45,12.28,212.04,4.34,0.338,21.88,0,107.38,2.38,0,normal
2026-01-01 06:00:00,CMP-01,8.41,1.33,18.4,11.44,210.04,4.323,0.405,22.09,0,103.71,1.29,0,normal
2026-01-01 07:00:00,CMP-01,6.11,4.55,16.82,11.13,210.69,4.346,0.389,22.25,0,105.12,0.12,0,normal
2026-01-01 08:00:00,CMP-01,6.88,4.34,19.15,11.62,207.74,4.108,0.298,22.02,0,104.21,0.79,0,normal
2026-01-01 09:00:00,CMP-01,9.88,6.01,18.22,12.69,209.76,4.148,0.334,21.85,0,106.14,1.14,0,normal
2026-01-01 10:00:00,CMP-01,10.64,6.76,17.8,12.62,209.08,4.272,0.36,21.91,0,107.05,2.05,0,normal
2026-01-01 11:00:00,CMP-01,11.19,6.06,17.43,11.73,211.07,4.103,0.278,22.33,0,104.8,0.2,0,normal
2026-01-01 12:00:00,CMP-01,10.33,7.03,17.37,12.72,215.51,4.142,0.391,21.26,0,102.36,2.64,0,normal
2026-01-01 13:00:00,CMP-01,12.95,9.4,17.1,11.81,211.25,4.056,0.345,22.0,0,105.86,0.86,0,normal
2026-01-01 14:00:00,CMP-01,15.25,9.52,17.56,12.91,203.19,4.348,0.356,21.92,1,105.22,0.22,0,normal
2026-01-01 15:00:00,CMP-01,12.58,8.93,18.0,12.29,205.94,4.285,0.365,21.68,0,102.82,2.18,0,normal
2026-01-01 16:00:00,CMP-01,15.18,12.85,17.86,11.73,203.49,4.237,0.438,22.48,0,104.27,0.73,0,normal
2026-01-01 17:00:00,CMP-01,13.58,13.82,16.87,12.48,206.64,4.218,0.35,21.16,0,104.72,0.28,0,normal
2026-01-01 18:00:00,CMP-01,15.68,9.95,17.79,11.54,212.04,4.167,0.331,21.76,1,102.6,2.4,0,normal
2026-01-01 19:00:00,CMP-01,15.68,12.71,17.29,11.44,211.41,4.168,0.435,21.44,0,105.94,0.94,0,normal
2026-01-01 20:00:00,CMP-01,19.58,16.01,18.13,11.13,207.42,4.249,0.324,22.36,0,105.36,0.36,0,normal
2026-01-01 21:00:00,CMP-01,18.72,14.59,19.49,12.16,210.87,4.143,0.322,21.69,0,105.4,0.4,0,normal
2026-01-01 22:00:00,CMP-01,22.49,14.57,18.5,11.97,206.79,4.298,0.28,22.03,0,103.6,1.4,0,normal
2026-01-01 23:00:00,CMP-01,23.28,14.7,17.75,11.95,204.14,4.161,0.402,22.25,1,103.78,1.22,0,normal
2026-01-02 00:00:00,CMP-01,23.66,14.95,16.7,11.75,204.2,4.13,0.362,20.95,0,103.88,1.12,0,normal
2026-01-02 01:00:00,CMP-01,20.47,15.99,16.87,12.86,206.38,4.304,0.372,22.3,0,105.32,0.32,0,normal
2026-01-02 02:00:00,CMP-01,25.03,16.24,16.65,11.75,215.48,4.188,0.357,21.51,0,104.38,0.62,0,normal
2026-01-02 03:00:00,CMP-01,26.91,18.44,18.58,11.57,204.45,4.244,0.342,21.83,0,106.28,1.28,0,normal
2026-01-02 04:00:00,CMP-01,28.2,17.72,17.39,12.75,214.77,4.167,0.31,21.93,0,105.87,0.87,0,normal
2026-01-02 05:00:00,CMP-01,26.25,18.32,18.05,12.85,215.11,4.02,0.31,22.53,0,102.99,2.01,0,normal
2026-01-02 06:00:00,CMP-01,29.14,18.06,17.5,12.2,209.08,4.244,0.37,22.48,0,106.9,1.9,0,normal
2026-01-02 07:00:00,CMP-01,29.24,20.09,18.07,10.96,209.61,4.092,0.355,23.15,0,105.21,0.21,0,normal
2026-01-02 08:00:00,CMP-01,30.54,19.73,19.12,11.64,207.36,4.287,0.429,22.12,0,104.22,0.78,0,normal
2026-01-02 09:00:00,CMP-01,34.91,21.23,17.45,12.37,209.7,4.076,0.311,21.69,1,105.15,0.15,0,normal
2026-01-02 10:00:00,CMP-01,32.55,23.35,17.73,12.01,212.43,4.051,0.324,21.67,0,103.17,1.83,0,normal
2026-01-02 11:00:00,CMP-01,34.94,23.19,17.35,12.93,209.84,4.225,0.298,22.43,0,105.26,0.26,0,normal
2026-01-02 12:00:00,CMP-01,37.59,24.01,18.7,11.18,213.78,4.234,0.417,23.05,0,102.55,2.45,0,normal
2026-01-02 13:00:00,CMP-01,35.95,24.48,17.18,12.41,214.53,4.209,0.288,22.22,0,104.25,0.75,0,normal
2026-01-02 14:00:00,CMP-01,37.8,24.77,17.09,11.62,211.17,4.103,0.387,21.62,0,106.7,1.7,0,normal
2026-01-02 15:00:00,CMP-01,39.2,25.2,16.89,12.79,211.1,4.271,0.42,22.18,0,106.58,1.58,0,normal
2026-01-02 16:00:00,CMP-01,40.11,25.63,16.87,11.95,209.55,4.083,0.342,22.17,0,104.63,0.37,0,normal
2026-01-02 17:00:00,CMP-01,38.79,27.56,18.38,12.62,211.18,4.163,0.384,22.02,0,104.05,0.95,0,normal
2026-01-02 18:00:00,CMP-01,42.14,26.0,20.06,11.61,205.35,4.137,0.243,21.51,0,105.75,0.75,0,normal
2026-01-02 19:00:00,CMP-01,45.45,29.56,17.2,11.15,211.41,4.17,0.329,20.34,0,105.11,0.11,0,normal
2026-01-02 20:00:00,CMP-01,41.22,28.64,18.76,11.33,210.61,4.268,0.267,21.65,0,105.35,0.35,0,normal
2026-01-02 21:00:00,CMP-01,46.55,28.35,18.2,11.64,206.35,4.149,0.357,22.69,0,105.48,0.48,0,normal
2026-01-02 22:00:00,CMP-01,46.21,29.31,17.12,11.39,218.38,4.245,0.349,22.14,0,104.49,0.51,0,normal
2026-01-02 23:00:00,CMP-01,45.85,29.74,17.78,12.72,205.91,4.256,0.311,20.56,0,105.63,0.63,0,normal
2026-01-03 00:00:00,CMP-01,51.6,31.39,17.81,12.8,206.32,4.063,0.395,22.0,0,102.34,2.66,0,normal
2026-01-03 01:00:00,CMP-01,50.37,30.99,17.45,12.16,210.9,4.107,0.366,20.79,1,106.8,1.8,0,normal
2026-01-03 02:00:00,CMP-01,47.84,33.87,19.54,11.38,202.06,4.169,0.323,23.3,0,102.62,2.38,0,normal
2026-01-03 03:00:00,CMP-01,51.13,32.21,16.48,11.93,206.63,4.153,0.323,22.12,0,104.06,0.94,0,normal
2026-01-03 04:00:00,CMP-01,53.04,31.07,18.3,11.59,203.7,4.225,0.276,21.21,0,103.78,1.22,0,normal
2026-01-03 05:00:00,CMP-01,52.66,33.57,18.27,12.87,205.93,4.045,0.34,22.52,0,105.56,0.56,0,normal
2026-01-03 06:00:00,CMP-01,55.23,32.69,17.54,12.19,209.26,4.258,0.453,21.49,0,105.84,0.84,0,normal
2026-01-03 07:00:00,CMP-01,54.88,35.7,18.12,12.29,211.06,4.26,0.314,22.37,0,105.55,0.55,0,normal
