feature,importance
sensor_threshold_count,0.2008861676649468
process_drift_nm_rolling_6h,0.09889206949227974
retaining_ring_hours,0.08197100636342514
retaining_ring_life_pct,0.08089537322513768
wafer_removal_rate_rolling_6h,0.0731507447231287
pad_hours,0.06800914388217313
process_drift_nm,0.06640832461787577
pad_life_pct,0.06338329053310926
vibration_rolling_6h,0.04856462198937812
wafer_removal_rate,0.03711446100576032
carrier_motor_current_rolling_6h,0.02883529047445677
slurry_flow_rate_rolling_6h,0.022310498034441812
platen_motor_current_rolling_6h,0.02108279302368798
vibration,0.01856202862901402
temperature_c_rolling_6h,0.011095634313384955
slurry_flow_rate,0.010830174678228832
platen_motor_current,0.010062238230750859
feature_removal_rate_low,0.009541061903092798
feature_vibration_high,0.007826452872610709
feature_process_drift_high,0.00715275450761248
carrier_motor_current,0.005099601533365198
process_drift_delta_6h,0.003937815388229654
removal_rate_delta_6h,0.003574775476058616
vibration_delta_6h,0.0035603737007470896
feature_pad_hours_high,0.0030240651867893854
downforce_pressure,0.002596952425879455
slurry_flow_delta_6h,0.002249301931485946
temperature_c,0.002038033008101625
platen_current_delta_6h,0.001920983647293729
feature_slurry_flow_low,0.0012539645920190787
alarm_count_rolling_6h,0.0011709332155052398
feature_carrier_current_high,0.0010494917728613665
feature_platen_current_high,0.0008396874184790701
alarm_count,0.0007860771944028598
feature_alarm_burst,0.00032381334428597413
